Data,Descricao
01-01-2025,Ano Novo
21-04-2025,Sexta-feira Santa
25-04-2025,Dia da Liberdade
01-05-2025,Dia do Trabalhador
10-06-2025,Dia de Portugal
15-08-2025,Assunção de Nossa Senhora
05-10-2025,Implantação da República
01-11-2025,Dia de Todos os Santos
01-12-2025,Restauração da Independência
08-12-2025,Imaculada Conceição
25-12-2025,Natal
